,Rainfall (mm),Date,Year,Month,Day
490,,1973-05-05,1973,5,5
491,,1973-05-06,1973,5,6
492,,1973-05-07,1973,5,7
493,,1973-05-08,1973,5,8
494,,1973-05-09,1973,5,9
495,,1973-05-10,1973,5,10
496,,1973-05-11,1973,5,11
497,,1973-05-12,1973,5,12
498,,1973-05-13,1973,5,13
499,,1973-05-14,1973,5,14
500,,1973-05-15,1973,5,15
501,,1973-05-16,1973,5,16
502,,1973-05-17,1973,5,17
503,,1973-05-18,1973,5,18
504,,1973-05-19,1973,5,19
505,,1973-05-20,1973,5,20
506,,1973-05-21,1973,5,21
507,,1973-05-22,1973,5,22
508,,1973-05-23,1973,5,23
509,,1973-05-24,1973,5,24
510,,1973-05-25,1973,5,25
511,,1973-05-26,1973,5,26
512,,1973-05-27,1973,5,27
513,,1973-05-28,1973,5,28
514,,1973-05-29,1973,5,29
515,,1973-05-30,1973,5,30
516,,1973-05-31,1973,5,31
517,,1973-06-01,1973,6,1
518,,1973-06-02,1973,6,2
519,,1973-06-03,1973,6,3
520,,1973-06-04,1973,6,4
521,,1973-06-05,1973,6,5
522,,1973-06-06,1973,6,6
523,,1973-06-07,1973,6,7
524,,1973-06-08,1973,6,8
525,,1973-06-09,1973,6,9
526,,1973-06-10,1973,6,10
527,,1973-06-11,1973,6,11
528,,1973-06-12,1973,6,12
529,,1973-06-13,1973,6,13
530,,1973-06-14,1973,6,14
531,,1973-06-15,1973,6,15
532,,1973-06-16,1973,6,16
533,,1973-06-17,1973,6,17
534,,1973-06-18,1973,6,18
535,,1973-06-19,1973,6,19
536,,1973-06-20,1973,6,20
537,,1973-06-21,1973,6,21
538,,1973-06-22,1973,6,22
539,,1973-06-23,1973,6,23
540,,1973-06-24,1973,6,24
541,,1973-06-25,1973,6,25
542,,1973-06-26,1973,6,26
543,,1973-06-27,1973,6,27
544,,1973-06-28,1973,6,28
545,,1973-06-29,1973,6,29
546,,1973-06-30,1973,6,30
547,,1973-07-01,1973,7,1
548,,1973-07-02,1973,7,2
549,,1973-07-03,1973,7,3
550,,1973-07-04,1973,7,4
551,,1973-07-05,1973,7,5
552,,1973-07-06,1973,7,6
553,,1973-07-07,1973,7,7
554,,1973-07-08,1973,7,8
555,,1973-07-09,1973,7,9
556,,1973-07-10,1973,7,10
557,,1973-07-11,1973,7,11
558,,1973-07-12,1973,7,12
559,,1973-07-13,1973,7,13
560,,1973-07-14,1973,7,14
561,,1973-07-15,1973,7,15
562,,1973-07-16,1973,7,16
563,,1973-07-17,1973,7,17
564,,1973-07-18,1973,7,18
565,,1973-07-19,1973,7,19
566,,1973-07-20,1973,7,20
567,,1973-07-21,1973,7,21
568,,1973-07-22,1973,7,22
569,,1973-07-23,1973,7,23
570,,1973-07-24,1973,7,24
571,,1973-07-25,1973,7,25
572,,1973-07-26,1973,7,26
573,,1973-07-27,1973,7,27
574,,1973-07-28,1973,7,28
575,,1973-07-29,1973,7,29
576,,1973-07-30,1973,7,30
577,,1973-07-31,1973,7,31
578,,1973-08-01,1973,8,1
579,,1973-08-02,1973,8,2
580,,1973-08-03,1973,8,3
581,,1973-08-04,1973,8,4
582,,1973-08-05,1973,8,5
583,,1973-08-06,1973,8,6
584,,1973-08-07,1973,8,7
585,,1973-08-08,1973,8,8
586,,1973-08-09,1973,8,9
587,,1973-08-10,1973,8,10
588,,1973-08-11,1973,8,11
589,,1973-08-12,1973,8,12
590,,1973-08-13,1973,8,13
591,,1973-08-14,1973,8,14
592,,1973-08-15,1973,8,15
593,,1973-08-16,1973,8,16
594,,1973-08-17,1973,8,17
595,,1973-08-18,1973,8,18
596,,1973-08-19,1973,8,19
597,,1973-08-20,1973,8,20
598,,1973-08-21,1973,8,21
599,,1973-08-22,1973,8,22
600,,1973-08-23,1973,8,23
601,,1973-08-24,1973,8,24
602,,1973-08-25,1973,8,25
603,,1973-08-26,1973,8,26
604,,1973-08-27,1973,8,27
605,,1973-08-28,1973,8,28
606,,1973-08-29,1973,8,29
607,,1973-08-30,1973,8,30
608,,1973-08-31,1973,8,31
609,,1973-09-01,1973,9,1
610,,1973-09-02,1973,9,2
611,,1973-09-03,1973,9,3
612,,1973-09-04,1973,9,4
613,,1973-09-05,1973,9,5
614,,1973-09-06,1973,9,6
615,,1973-09-07,1973,9,7
616,,1973-09-08,1973,9,8
617,,1973-09-09,1973,9,9
618,,1973-09-10,1973,9,10
619,,1973-09-11,1973,9,11
620,,1973-09-12,1973,9,12
621,,1973-09-13,1973,9,13
622,,1973-09-14,1973,9,14
623,,1973-09-15,1973,9,15
624,,1973-09-16,1973,9,16
625,,1973-09-17,1973,9,17
626,,1973-09-18,1973,9,18
627,,1973-09-19,1973,9,19
628,,1973-09-20,1973,9,20
629,,1973-09-21,1973,9,21
630,,1973-09-22,1973,9,22
631,,1973-09-23,1973,9,23
632,,1973-09-24,1973,9,24
633,,1973-09-25,1973,9,25
634,,1973-09-26,1973,9,26
635,,1973-09-27,1973,9,27
